codigo_componente,nome_componente
DPR0111,DIREITO INDIVIDUAL DO TRABALHO
DPR0113,DIREITO FALIMENTAR
DPR0114,DIREITO COLETIVO DO TRABALHO
DPU0125,DIREITO INTERNACIONAL PUBLICO
DPU0026,DIREITO PENITENCIARIO
DPU0217,DIREITO DAS RELAÇÕES DE CONSUMO
DPU0128,MEDICINA LEGAL E CRIMINALISTA
DPU0205,DIREITO CONSTITUCIONAL II
HIS0035,HISTORIA DA ARTE BRASILEIRA
ECO0120,ECONOMIA POLITICA
PSI0986,PSICOLOGIA APLICADA AO DIREITO
TEX0160,EMPREENDEDORISMO SOCIAL
DPR0210,DIREITO EMPRESARIAL III
ADM0516,GESTAO AMBIENTAL
DPR0215,DIREITO DO TRABALHO I
DPR0206,DIREITO CIVIL VII
ADM0515,ANALISE E COMPOSICAO DE CARTEIRA DE INVESTIMENTO
ADM0539,TOPICOS ESPECIAIS VIII
DAT0137,HISTORIA DA ARTE NO BRASIL E NO RN
DPR0201,DIREITO CIVIL II
DPU0134,DIREITO AMBIENTAL E INDUSTRIA DO PETROLEO E GAS
DPR0125,RESPONSABILIDADE CIVIL E IND.DO PETROLEO E GAS
ADM0513,TREINAMENTO E DESENVOLVIMENTO
DPU0013,DIREITO TRIBUTARIO
DCS0120,INTRODUCAO A CIENCIA POLITICA
DPR0200,DIREITO CIVIL I
DPU0204,DIREITO CONSTITUCIONAL I
DPU0206,DIREITO PENAL I
DPU0209,DIREITO PENAL IV
DPR0101,DIREITO DO CONSUMIDOR
DPR0120,RESPONSABILIDADE CIVIL
DPU0228,"DIREITO DA CRIANÇA, DO ADOLESCENTE E DO IDOSO"
DPR0202,DIREITO CIVIL III
DPR0203,DIREITO CIVIL IV
DPR0204,DIREITO CIVIL V
DPR0205,DIREITO CIVIL VI
DPR0207,DIREITO CIVIL VIII
DPU0208,DIREITO PENAL III
DPR0209,DIREITO EMPRESARIAL II
DPR0208,DIREITO EMPRESARIAL I
DCS0345,SOCIOLOGIA DA SAUDE
DPU0120,DIREITO ECONOMICO
DPU0207,DIREITO PENAL II
ECO0099,ECONOMIA DO SETOR PÚBLICO
ADM0525,JOGOS DE EMPRESAS
LET0263,PRODUÇÃO DE TEXTO II
DPU0119,DIREITO DO MEIO AMBIENTE
DEQ0550,BIOCOMBUSTIVEL E BIOENERGIA: FUNDAMENTOS DE PRODUÇÃO  E APLICAÇÕES.
DPR0216,DIREITO DO TRABALHO II
DPR0217,DIREITO DO TRABALHO III
ECO0001,INTRODUCAO A ECONOMIA I
