"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57562257";"01";"";"81620";"";"56847";"0";"LATO SENSU";"";"";"2016";"1";"2016/01/04 00:00:00.000";"2016/02/27 00:00:00.000";"";"";"";"REGULAR";"true";"2016/05/30 13:42:46.443000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57562257";"01";"2626690";"";"";"56847";"0";"LATO SENSU";"";"";"2016";"1";"2016/01/04 00:00:00.000";"2016/02/27 00:00:00.000";"";"";"";"REGULAR";"true";"2016/05/30 13:42:46.443000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57562261";"02";"2626690";"";"";"56847";"0";"LATO SENSU";"";"";"2016";"1";"2016/01/04 00:00:00.000";"2016/02/26 00:00:00.000";"";"";"";"REGULAR";"true";"2016/05/25 10:05:57.996000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57562261";"02";"";"81621";"";"56847";"0";"LATO SENSU";"";"";"2016";"1";"2016/01/04 00:00:00.000";"2016/02/26 00:00:00.000";"";"";"";"REGULAR";"true";"2016/05/25 10:05:57.996000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57562265";"03";"2626690";"";"";"56847";"0";"LATO SENSU";"";"";"2016";"1";"2016/01/04 00:00:00.000";"2016/02/27 00:00:00.000";"";"";"";"REGULAR";"true";"2016/06/13 08:59:37.463000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57562265";"03";"";"81663";"";"56847";"0";"LATO SENSU";"";"";"2016";"1";"2016/01/04 00:00:00.000";"2016/02/27 00:00:00.000";"";"";"";"REGULAR";"true";"2016/06/13 08:59:37.463000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57562269";"04";"347108";"";"";"56847";"0";"LATO SENSU";"";"";"2016";"1";"2016/01/04 00:00:00.000";"2016/02/27 00:00:00.000";"";"";"";"REGULAR";"true";"2016/05/26 13:26:08.900000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57562275";"05";"2307755";"";"";"56847";"0";"LATO SENSU";"";"";"2016";"1";"2016/01/04 00:00:00.000";"2016/03/19 00:00:00.000";"";"";"";"REGULAR";"true";"2016/05/27 11:34:42.187000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57562279";"06";"2626690";"";"";"56847";"0";"LATO SENSU";"";"";"2016";"1";"2016/01/04 00:00:00.000";"2016/02/27 00:00:00.000";"";"";"";"REGULAR";"true";"2016/05/30 09:36:42.751000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57562279";"06";"";"81626";"";"56847";"0";"LATO SENSU";"";"";"2016";"1";"2016/01/04 00:00:00.000";"2016/02/27 00:00:00.000";"";"";"";"REGULAR";"true";"2016/05/30 09:36:42.751000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
